SegmentID,SessionID,TopicNumber,TopicProduct,TopicGoal,TaskType,Query,QueryOrder,QueryLen,QueryDwellTime,NumClickedPage,NumClickedDoc,NumKeyDoc,NumRelevantDoc,AveDwellTime,TotalDwellTime,AveClickRank,ClickDepth,SearchEngineDwellTime,ClickPrecision,TimetoFirstLastClick,ReciproalRank,ratiofirstclick,ReformulationTime,Attribute:userid,Attribute:num,interaction.query,isSegmentStart,isSegmentEnd
27,11,44,intellectual,specific,interpretive,what make internet phone service great,2,6,29.2645,0,0,0,0,,0,,,29.2645,,29.2645,0,1,29.2645,10,11,what make internet phone service great,0,0
28,11,44,intellectual,specific,interpretive,internet phone service advantages,3,4,28.9413,0,0,0,0,,0,,,28.9413,,28.9413,0,1,28.9413,10,11,internet phone service advantages,0,0
29,11,44,intellectual,specific,interpretive,internet phone service selection advice,4,5,64.7106,0,0,0,0,,0,,,64.7106,,64.7106,0,1,64.7106,10,11,internet phone service selection advice,0,1
30,12,26,intellectual,amorphous,exploratory,hawaii vacation,1,2,21.9336,0,2,0,2,8.82645,17.6529,4.5,6,4.2807,1,17.6529,0,0.80483368,21.9336,11,12,hawaii vacation,1,0
31,12,26,intellectual,amorphous,exploratory,seattle vacation,2,2,17.1773,0,1,0,0,12.6007,12.6007,3,3,4.5766,0,12.6007,0,0.733566975,17.1773,11,12,seattle vacation,0,0
32,12,26,intellectual,amorphous,exploratory,canada vacation,3,2,17.185,0,1,0,0,11.9239,11.9239,1,1,5.2611,0,11.9239,0,0.693855106,17.185,11,12,canada vacation,0,0
33,12,26,intellectual,amorphous,exploratory,paris vacation,4,2,57.2528,0,0,0,0,,0,,,57.2528,,57.2528,0,1,57.2528,11,12,paris vacation,0,1
34,13,4,factual,specific,known-item,Smoking qutting tips,1,3,13,0,0,0,0,,0,,,13,,13,0,1,13,-1,13,Smoking qutting tips,1,0
35,13,4,factual,specific,known-item,reddit smoking quitting,2,3,67,0,3,0,1,17.66666667,53,2.666666667,4,14,0.333333333,53,0,0.791044776,67,-1,13,reddit smoking quitting,0,0
36,13,4,factual,specific,known-item,no more smoking,3,3,19,0,0,0,0,,0,,,19,,19,0,1,19,-1,13,no more smoking,0,1
37,14,47,factual,specific,known-item,Swahili dishes guide,1,3,63.0357,0,0,0,0,,0,,,63.0357,,63.0357,0,1,63.0357,12,14,Swahili dishes guide,1,0
38,14,47,factual,specific,known-item,Swahili traditional food guide,2,4,206.0482,0,0,0,0,,0,,,206.0482,,206.0482,0,1,206.0482,12,14,Swahili traditional food guide,0,1
39,15,59,factual,amorphous,known-subject,philedelphia travel guide,1,3,21.8358,10,0,0,0,,0,,,21.8358,,21.8358,0,1,21.8358,13,15,philedelphia travel guide,1,0
40,15,59,factual,amorphous,known-subject,what to see around philedelphia,2,5,16.2803,10,0,0,0,,0,,,39.5273,,39.5273,0,1,16.2803,13,15,what to see around philedelphia,0,1
41,16,58,intellectual,specific,interpretive,Teacher peer evaluation,1,3,82.2941,0,1,0,1,6.8379,6.8379,,3,52.1861,1,6.8379,0,0.115849485,82.2941,14,16,Teacher peer evaluation,1,0
42,16,58,intellectual,specific,interpretive,Students evaluation of teachers,2,4,67.526,0,2,0,1,7.53965,15.0793,2.5,4,52.4467,0.5,15.0793,0,0.223311021,67.526,14,16,Students evaluation of teachers,0,1
43,17,53,intellectual,specific,interpretive,403 vs IRA,1,3,31.245,0,0,0,0,,0,,,31.245,,31.245,0,1,31.245,2,17,403 vs IRA,1,0
44,17,53,intellectual,specific,interpretive,403(b) advantages,2,2,27.7119,0,0,0,0,,0,,,27.7119,,27.7119,0,1,27.7119,2,17,403(b) advantages,0,0
45,17,53,intellectual,specific,interpretive,IRA advantages,3,2,37.3378,0,0,0,0,,0,,,37.3378,,37.3378,0,1,37.3378,2,17,IRA advantages,0,0
46,17,53,intellectual,specific,interpretive,IRA adisadvangtages,4,2,5.7738,0,0,0,0,,0,,,5.7738,,5.7738,0,1,5.7738,2,17,IRA adisadvangtages,0,0
47,17,53,intellectual,specific,interpretive,IRAadisadvangtages,5,1,4.3662,0,0,0,0,,0,,,4.3662,,4.3662,0,1,4.3662,2,17,IRAadisadvangtages,0,0
48,17,53,intellectual,specific,interpretive,IRA disadvangtages,6,2,15.9681,0,0,0,0,,0,,,15.9681,,15.9681,0,1,15.9681,2,17,IRA disadvangtages,0,0
49,17,53,intellectual,specific,interpretive,Which is better 403(b) or an IRA?,7,7,20.9583,0,0,0,0,,0,,,20.9583,,20.9583,0,1,20.9583,2,17,Which is better 403(b) or an IRA?,0,1
50,18,30,intellectual,specific,interpretive,Swahili food,1,2,16.721,0,1,0,0,10.96,10.96,8,8,5.761,0,10.96,0,0.65546319,16.721,15,18,Swahili food,1,1
51,19,13,factual,amorphous,known-subject,france world cup 1998,1,4,26.2113,0,0,0,0,,0,,,26.2113,,26.2113,0,1,26.2113,16,19,france world cup 1998,1,0
52,19,13,factual,amorphous,known-subject,what happened after france won world cup 1998,2,8,23.2811,0,0,0,0,,0,,,23.2811,,23.2811,0,1,23.2811,16,19,what happened after france won world cup 1998,0,0
53,19,13,factual,amorphous,known-subject,france world cup 1998 reactions,3,5,35.1939,0,0,0,0,,0,,,6.9433,,6.9433,0,1,35.1939,16,19,france world cup 1998 reactions,0,0
54,19,13,factual,amorphous,known-subject,france world cup 1998 reaction,4,5,16.461,0,0,0,0,,0,,,16.461,,16.461,0,1,16.461,16,19,france world cup 1998 reaction,0,1
55,20,34,intellectual,specific,interpretive,Training at connecticut fire academy,1,5,23.2755,0,0,0,0,,0,,,23.2755,,23.2755,0,1,23.2755,17,20,Training at connecticut fire academy,1,1
56,21,33,factual,amorphous,known-subject,famous scientific glass blowing,1,4,54.3762,10,4,0,0,11.652825,46.6113,,4,7.7649,0,46.6113,0,0.857200393,54.3762,18,21,famous scientific glass blowing,1,0
57,21,33,factual,amorphous,known-subject,glass blowing in history,2,4,15.5132,0,0,0,0,,0,,,15.5132,,15.5132,0,1,15.5132,18,21,glass blowing in history,0,1
58,22,9,factual,amorphous,known-subject,bollywood legislation,1,2,26.0772,0,0,0,0,,0,,,26.0772,,26.0772,0,1,26.0772,-1,22,bollywood legislation,1,0
59,22,9,factual,amorphous,known-subject,growth in bollywood,2,3,13.1258,0,0,0,0,,0,,,13.1258,,13.1258,0,1,13.1258,-1,22,growth in bollywood,0,0
60,22,9,factual,amorphous,known-subject,growth in bollywood government,3,4,18.5657,0,0,0,0,,0,,,18.5657,,18.5657,0,1,18.5657,-1,22,growth in bollywood government,0,0
61,22,9,factual,amorphous,known-subject,india government bollywood,4,3,35.4924,0,0,0,0,,0,,,35.4924,,35.4924,0,1,35.4924,-1,22,india government bollywood,0,0
62,22,9,factual,amorphous,known-subject,india growth bollywood,5,3,11.6073,0,0,0,0,,0,,,11.6073,,11.6073,0,1,11.6073,-1,22,india growth bollywood,0,1
63,23,30,intellectual,specific,interpretive,swahili food,1,2,16.8449,0,0,0,0,,0,,,16.8449,,16.8449,0,1,16.8449,16,23,swahili food,1,0
64,23,30,intellectual,specific,interpretive,swahili recipes,2,2,31.1577,0,0,0,0,,0,,,31.1577,,31.1577,0,1,31.1577,16,23,swahili recipes,0,0
65,23,30,intellectual,specific,interpretive,traditional swahili recipes,3,3,66.9294,0,1,0,0,51.0628,51.0628,1,1,15.8666,0,51.0628,0,0.762935272,66.9294,16,23,traditional swahili recipes,0,0
66,23,30,intellectual,specific,interpretive,traditional swahili food,4,3,5.4067,0,0,0,0,,0,,,5.4067,,5.4067,0,1,5.4067,16,23,traditional swahili food,0,1
67,24,54,factual,specific,known-item,Connecticut fire academy,1,3,53.4603,0,1,0,0,39.7045,39.7045,4,4,13.7558,0,39.7045,0,0.742691306,53.4603,4,24,Connecticut fire academy,1,0
68,24,54,factual,specific,known-item,Connecticut firemen academy,2,3,18.7978,0,0,0,0,,0,,,18.7978,,18.7978,0,1,18.7978,4,24,Connecticut firemen academy,0,0
69,24,54,factual,specific,known-item,Connecticut firemen school,3,3,24.2265,0,0,0,0,,0,,,24.2265,,24.2265,0,1,24.2265,4,24,Connecticut firemen school,0,1
70,25,16,factual,amorphous,known-subject,WEIGHT LOSS POSSIBILITIES,1,3,130.2123,0,0,0,0,,0,,,130.2123,,130.2123,0,1,130.2123,19,25,WEIGHT LOSS POSSIBILITIES,1,1
71,26,8,factual,specific,known-item,Kursk Sinking,1,2,19.6568,0,0,0,0,,0,,,19.6568,,19.6568,0,1,19.6568,20,26,Kursk Sinking,1,0
72,26,8,factual,specific,known-item,Kursk Wikipedia,2,2,52.9683,0,0,0,0,,0,,,52.9683,,52.9683,0,1,52.9683,20,26,Kursk Wikipedia,0,0
73,26,8,factual,specific,known-item,Kursk,3,1,23.2601,0,0,0,0,,0,,,23.2601,,23.2601,0,1,23.2601,20,26,Kursk,0,0
74,26,8,factual,specific,known-item,Kursk Submarine How many crewman lost,4,6,31.3931,0,0,0,0,,0,,,31.3931,,31.3931,0,1,31.3931,20,26,Kursk Submarine How many crewman lost,0,1
75,27,35,intellectual,specific,interpretive,Merck and Co. lobbying,1,4,65.3095,0,3,1,2,20.50213333,61.5064,2,3,3.8031,0.666666667,61.5064,1,0.941768043,65.3095,15,27,Merck and Co. lobbying,1,0
76,27,35,intellectual,specific,interpretive,Merck and Co. legislation,2,4,36.7526,0,0,0,0,,0,,,36.7526,,36.7526,0,1,36.7526,15,27,Merck and Co. legislation,0,1
77,28,42,intellectual,amorphous,exploratory,collagen vascular disease,1,3,173.5798,0,0,0,0,,0,,,173.5798,,173.5798,0,1,173.5798,9,28,collagen vascular disease,1,1
78,29,18,intellectual,amorphous,exploratory,pseudocyesis information,1,2,36.6632,0,1,0,1,7.228,7.228,1,1,29.4352,1,7.228,0,0.197145912,36.6632,21,29,pseudocyesis information,1,0
79,29,18,intellectual,amorphous,exploratory,pseudocyesis advances,2,2,8.5645,0,0,0,0,,0,,,8.5645,,8.5645,0,1,8.5645,21,29,pseudocyesis advances,0,0
80,29,18,intellectual,amorphous,exploratory,pseudocyesis advances false pregnancy psychology,3,5,22.7461,0,0,0,0,,0,,,22.7461,,22.7461,0,1,22.7461,21,29,pseudocyesis advances false pregnancy psychology,0,0
81,29,18,intellectual,amorphous,exploratory,pseudocyesis advances in medicine,4,4,20.1331,0,0,0,0,,0,,,20.1331,,20.1331,0,1,20.1331,21,29,pseudocyesis advances in medicine,0,0
82,29,18,intellectual,amorphous,exploratory,pseudocyesis developments,5,2,21.8724,0,1,0,0,16.5005,16.5005,2,2,5.3719,0,16.5005,0,0.754398237,21.8724,21,29,pseudocyesis developments,0,0
83,29,18,intellectual,amorphous,exploratory,pseudocyesis recent developments,6,3,12.0264,0,0,0,0,,0,,,12.0264,,12.0264,0,1,12.0264,21,29,pseudocyesis recent developments,0,0
84,29,18,intellectual,amorphous,exploratory,recent developments in pseudocyesis,7,4,16.55,0,0,0,0,,0,,,16.55,,16.55,0,1,16.55,21,29,recent developments in pseudocyesis,0,1
85,30,28,intellectual,specific,interpretive,breeding dogs,1,2,119.7221,0,3,0,0,37.31913333,111.9574,2.333333333,4,7.7647,0,111.9574,0,0.935143971,119.7221,4,30,breeding dogs,1,1
86,31,21,factual,amorphous,known-subject,how does hydoelectric power work,1,5,28.1454,0,0,0,0,,0,,,28.1454,,28.1454,0,1,28.1454,22,31,how does hydoelectric power work,1,0
87,31,21,factual,amorphous,known-subject,hydoelectric power,2,2,20.3096,0,0,0,0,,0,,,20.3096,,20.3096,0,1,20.3096,22,31,hydoelectric power,0,0
88,31,21,factual,amorphous,known-subject,hydropower,3,1,136.46,10,3,1,2,43.0104,129.0312,,10,7.4288,0.666666667,129.0312,10,0.945560604,136.46,22,31,hydropower,0,0
89,31,21,factual,amorphous,known-subject,hydropower damns,4,2,14.6883,10,0,0,0,,0,,,11.1954,,11.1954,0,1,14.6883,22,31,hydropower damns,0,0
90,31,21,factual,amorphous,known-subject,why isn't hydropower used more often,5,6,17.2909,10,0,0,0,,0,,,32.0783,,32.0783,0,1,17.2909,22,31,why isn't hydropower used more often,0,1
91,32,25,intellectual,specific,interpretive,dehumidifiers,1,1,19.0655,0,0,0,0,,0,,,19.0655,,19.0655,0,1,19.0655,23,32,dehumidifiers,1,0
92,32,25,intellectual,specific,interpretive,dehumidifiers best value,2,3,66.5733,0,1,0,0,46.331,46.331,5,5,20.2423,0,46.331,0,0.695939663,66.5733,23,32,dehumidifiers best value,0,0
93,32,25,intellectual,specific,interpretive,dehumidifiers reviews best value,3,4,42.9546,0,0,0,0,,0,,,42.9546,,42.9546,0,1,42.9546,23,32,dehumidifiers reviews best value,0,0
94,32,25,intellectual,specific,interpretive,dehumidifiers reviews low cost,4,4,16.981,0,0,0,0,,0,,,16.981,,16.981,0,1,16.981,23,32,dehumidifiers reviews low cost,0,1
95,33,15,factual,specific,known-item,best internet phone services,1,4,82.8527,0,4,0,2,17.61875,70.475,6.25,9,12.3777,0.5,70.475,0,0.850605955,82.8527,24,33,best internet phone services,1,0
96,33,15,factual,specific,known-item,cheapest internet phone services,2,4,40.6324,0,2,0,0,8.9121,17.8242,9,10,22.8082,0,17.8242,0,0.438669633,40.6324,24,33,cheapest internet phone services,0,0
97,33,15,factual,specific,known-item,providers of VOIP,3,3,38.5095,0,0,0,0,,0,,,38.5095,,38.5095,0,1,38.5095,24,33,providers of VOIP,0,0
98,33,15,factual,specific,known-item,providers of VOIP list,4,4,44.156,0,1,0,1,30.7276,30.7276,2,2,13.4284,1,30.7276,0,0.695887309,44.156,24,33,providers of VOIP list,0,0
99,33,15,factual,specific,known-item,features that great VOIP services,5,5,85.1788,0,3,0,0,20.34293333,61.0288,3.666666667,6,24.15,0,61.0288,0,0.716478748,85.1788,24,33,features that great VOIP services,0,0
100,33,15,factual,specific,known-item,free calls from the US to some European countries voip,6,10,38.7079,0,1,0,0,23.1265,23.1265,3,3,15.5814,0,23.1265,0,0.597462017,38.7079,24,33,free calls from the US to some European countries voip,0,1
101,34,51,factual,specific,known-item,location of port arthur,1,4,17.6815,0,0,0,0,,0,,,17.6815,,17.6815,0,1,17.6815,18,34,location of port arthur,1,0
102,34,51,factual,specific,known-item,location of port arthur massacre,2,5,52.0347,0,1,1,1,41.0033,41.0033,2,2,11.0314,1,41.0033,2,0.787999162,52.0347,18,34,location of port arthur massacre,0,0
103,34,51,factual,specific,known-item,what happened at the Port Arthur Massacre,3,7,28.4768,0,0,0,0,,0,,,28.4768,,28.4768,0,1,28.4768,18,34,what happened at the Port Arthur Massacre,0,0
104,34,51,factual,specific,known-item,Port Arthur Massacre australia,4,4,92.4781,0,1,0,0,86.1017,86.1017,1,1,6.3764,0,86.1017,0,0.931049621,92.4781,18,34,Port Arthur Massacre australia,0,1
105,35,59,factual,amorphous,known-subject,philedelphia travel guide,1,3,19.8127,0,0,0,0,,0,,,19.8127,,19.8127,0,1,19.8127,13,35,philedelphia travel guide,1,0
106,35,59,factual,amorphous,known-subject,what to see around philedelphia,2,5,17.669,0,0,0,0,,0,,,17.669,,17.669,0,1,17.669,13,35,what to see around philedelphia,0,1
107,36,39,intellectual,amorphous,exploratory,cause of eurozone crisi,1,4,134.6256,0,0,0,0,,0,,,134.6256,,134.6256,0,1,134.6256,5,36,cause of eurozone crisi,1,1
108,37,47,factual,specific,known-item,traditional swahili dishes,1,3,41.057,30,0,0,0,,0,,,94.4804,,94.4804,0,1,41.057,25,37,traditional swahili dishes,1,1
109,38,5,factual,amorphous,known-subject,Face transplants,1,2,117.9678,0,6,3,6,19.23705,115.4223,5.166666667,9,2.5455,1,115.4223,3,0.978422078,117.9678,3,38,Face transplants,1,1
110,39,8,factual,specific,known-item,Kursk,1,1,12.42,0,0,0,0,,0,,,12.42,,12.42,0,1,12.42,26,39,Kursk,1,0
111,39,8,factual,specific,known-item,Submarine Kursk,2,2,29.7279,0,1,0,1,25.5183,25.5183,2,2,4.2096,1,25.5183,0,0.858395649,29.7279,26,39,Submarine Kursk,0,0
112,39,8,factual,specific,known-item,Russian Submarine Kursk,3,3,36.103,8,2,0,2,10.27235,20.5447,,4,15.5583,1,20.5447,0,0.569057973,36.103,26,39,Russian Submarine Kursk,0,0
113,39,8,factual,specific,known-item,Russian Submarine Kursk Commander,4,4,40.5301,0,1,0,0,29.9194,29.9194,,,-21.8866,0,29.9194,0,3.724653919,40.5301,26,39,Russian Submarine Kursk Commander,0,0
114,39,8,factual,specific,known-item,Kursk Countries,5,2,7.1732,0,0,0,0,,0,,,7.1732,,7.1732,0,1,7.1732,26,39,Kursk Countries,0,1
115,40,24,factual,specific,known-item,side effects of Red Bull,1,5,52.3358,0,0,0,0,,0,,,52.3358,,52.3358,0,1,52.3358,10,40,side effects of Red Bull,1,0
116,40,24,factual,specific,known-item,US laws proposing a ban on drinks like Red Bull,2,10,30.7232,0,0,0,0,,0,,,30.7232,,30.7232,0,1,30.7232,10,40,US laws proposing a ban on drinks like Red Bull,0,0
117,40,24,factual,specific,known-item,ingredients of redbull,3,3,33.4705,10,0,0,0,,0,,,47.1939,,47.1939,0,1,33.4705,10,40,ingredients of redbull,0,1
118,41,33,factual,amorphous,known-subject,glass science advances,1,3,73.5706,0,0,0,0,,0,,,73.5706,,73.5706,0,1,73.5706,27,41,glass science advances,1,0
119,41,33,factual,amorphous,known-subject,glass science history,2,3,41.9173,0,0,0,0,,0,,,41.9173,,41.9173,0,1,41.9173,27,41,glass science history,0,1
120,42,17,intellectual,amorphous,exploratory,what to do if a friend has depression,1,8,22.641,0,0,0,0,,0,,,22.641,,22.641,0,1,22.641,28,42,what to do if a friend has depression,1,0
121,42,17,intellectual,amorphous,exploratory,helping someone with depression,2,4,32.7708,0,0,0,0,,0,,,32.7708,,32.7708,0,1,32.7708,28,42,helping someone with depression,0,0
122,42,17,intellectual,amorphous,exploratory,medical referrals for depression,3,4,12.9031,0,0,0,0,,0,,,12.9031,,12.9031,0,1,12.9031,28,42,medical referrals for depression,0,0
123,42,17,intellectual,amorphous,exploratory,psychologists,4,1,9.4905,0,0,0,0,,0,,,9.4905,,9.4905,0,1,9.4905,28,42,psychologists,0,1
124,43,42,intellectual,amorphous,exploratory,collagen vascular disease,1,3,67.393,0,2,1,1,32.7594,65.5188,1.5,2,1.8742,0.5,65.5188,2,0.97218999,67.393,15,43,collagen vascular disease,1,0
125,43,42,intellectual,amorphous,exploratory,collagen vascular disease sports,2,4,10.4769,0,0,0,0,,0,,,10.4769,,10.4769,0,1,10.4769,15,43,collagen vascular disease sports,0,0
126,43,42,intellectual,amorphous,exploratory,collagen vascular disease lifestyle,3,4,48.053,0,2,0,2,22.3569,44.7138,7,10,3.3392,1,44.7138,0,0.930510062,48.053,15,43,collagen vascular disease lifestyle,0,0
127,43,42,intellectual,amorphous,exploratory,collagen vascular disease guide,4,4,10.565,0,0,0,0,,0,,,10.565,,10.565,0,1,10.565,15,43,collagen vascular disease guide,0,1
128,44,36,factual,amorphous,known-subject,European economic issues,1,3,19.5184,0,0,0,0,,0,,,19.5184,,19.5184,0,1,19.5184,3,44,European economic issues,1,0
129,44,36,factual,amorphous,known-subject,Cyprus economic issues.,2,3,27.6826,0,0,0,0,,0,,,27.6826,,27.6826,0,1,27.6826,3,44,Cyprus economic issues.,0,0
130,44,36,factual,amorphous,known-subject,Cyprus economic crisis,3,3,32.4063,0,1,0,0,8.8005,8.8005,2,2,23.6058,0,8.8005,0,0.271567566,32.4063,3,44,Cyprus economic crisis,0,1
131,45,10,intellectual,amorphous,exploratory,junk food,1,2,118,0,5,0,5,22,110,5.2,8,8,1,110,0,0.93220339,118,-1,45,junk food,1,1
132,46,52,intellectual,specific,interpretive,WHICH IS BEST COUNTRY FOR WORKING US OR UK,1,9,26.0371,0,0,0,0,,0,,,26.0371,,26.0371,0,1,26.0371,19,46,WHICH IS BEST COUNTRY FOR WORKING US OR UK,1,0
133,46,52,intellectual,specific,interpretive,safety nets,2,2,20.5318,0,0,0,0,,0,,,20.5318,,20.5318,0,1,20.5318,19,46,safety nets,0,0
134,46,52,intellectual,specific,interpretive,WHICH COUNTRY IS SAFETY NETS FOR WORKING JOB US OR UK,3,11,46.8602,0,0,0,0,,0,,,46.8602,,46.8602,0,1,46.8602,19,46,WHICH COUNTRY IS SAFETY NETS FOR WORKING JOB US OR UK,0,1
135,47,58,intellectual,specific,interpretive,teacher peer evaluations,1,3,59.6001,0,1,0,0,41.7089,41.7089,,,17.8912,0,41.7089,0,0.699812584,59.6001,-1,47,teacher peer evaluations,1,1
136,48,28,intellectual,specific,interpretive,designer dog,1,2,125.1692,0,0,0,0,,0,,,125.1692,,125.1692,0,1,125.1692,9,48,designer dog,1,1
137,49,15,factual,specific,known-item,Voip,1,1,11.2108,0,0,0,0,,0,,,11.2108,,11.2108,0,1,11.2108,16,49,Voip,1,0
138,49,15,factual,specific,known-item,voip features,2,2,49.1797,0,1,0,0,44.3792,44.3792,2,2,4.8005,0,44.3792,0,0.902388587,49.1797,16,49,voip features,0,0
139,49,15,factual,specific,known-item,voip providers,3,2,16.7884,0,0,0,0,,0,,,16.7884,,16.7884,0,1,16.7884,16,49,voip providers,0,0
140,49,15,factual,specific,known-item,voip reviews,4,2,59.6788,0,1,0,1,53.675,53.675,2,2,6.0038,1,53.675,0,0.899398111,59.6788,16,49,voip reviews,0,0
141,49,15,factual,specific,known-item,cheapest voip,5,2,17.8002,0,0,0,0,,0,,,17.8002,,17.8002,0,1,17.8002,16,49,cheapest voip,0,1
142,50,56,factual,amorphous,known-subject,Pocono Mountains region,1,3,30.7692,0,1,0,0,23.5167,23.5167,1,1,7.2525,0,23.5167,0,0.764293514,30.7692,29,50,Pocono Mountains region,1,0
143,50,56,factual,amorphous,known-subject,Pocono Mountains region nation parks,2,5,65.0434,0,2,0,2,24.6117,49.2234,2.5,3,15.82,1,49.2234,0,0.756777782,65.0434,29,50,Pocono Mountains region nation parks,0,0
144,50,56,factual,amorphous,known-subject,National Parks at Pocono Mountains region,3,6,62.5761,0,1,0,0,38.1037,38.1037,8,8,24.4724,0,38.1037,0,0.608917782,62.5761,29,50,National Parks at Pocono Mountains region,0,1
145,51,58,intellectual,specific,interpretive,teacher peer evaluation,1,3,47.8492,0,1,1,1,23.6041,23.6041,6,6,24.2451,1,23.6041,6,0.493301873,47.8492,30,51,teacher peer evaluation,1,0
146,51,58,intellectual,specific,interpretive,students evaluating teachers,2,3,37.118,10,0,0,0,,0,,,67.2906,,67.2906,0,1,37.118,30,51,students evaluating teachers,0,1
147,52,21,factual,amorphous,known-subject,hydropower efficiency,1,2,122.4352,0,1,0,1,113.8989,113.8989,2,2,8.5363,1,113.8989,0,0.930279037,122.4352,6,52,hydropower efficiency,1,0
